County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Good_to_Moderate_Ratio,Unhealthy_Days_Percentage
Swain,2017,365.0,309.0,56.0,0.0,0.0,0.0,0.0,71.0,53.0,38.0,0.0,0.0,185.0,180.0,0.0,5.517857142857143,0.0
Union,2017,236.0,204.0,31.0,1.0,0.0,0.0,0.0,115.0,58.0,43.0,0.0,0.0,236.0,0.0,0.0,6.580645161290323,0.423728813559322
Yancey,2017,202.0,155.0,47.0,0.0,0.0,0.0,0.0,93.0,61.0,44.0,0.0,0.0,202.0,0.0,0.0,3.297872340425532,0.0
Alexander,2018,233.0,198.0,35.0,0.0,0.0,0.0,0.0,100.0,58.0,40.0,0.0,0.0,233.0,0.0,0.0,5.6571428571428575,0.0
Avery,2018,357.0,328.0,29.0,0.0,0.0,0.0,0.0,87.0,50.0,38.0,0.0,0.0,346.0,11.0,0.0,11.310344827586206,0.0
Caldwell,2018,244.0,209.0,35.0,0.0,0.0,0.0,0.0,93.0,58.0,39.0,0.0,0.0,244.0,0.0,0.0,5.9714285714285715,0.0
Carteret,2018,222.0,202.0,20.0,0.0,0.0,0.0,0.0,77.0,49.0,38.0,0.0,0.0,222.0,0.0,0.0,10.1,0.0
Caswell,2018,232.0,198.0,34.0,0.0,0.0,0.0,0.0,97.0,58.0,40.0,0.0,0.0,232.0,0.0,0.0,5.823529411764706,0.0
Catawba,2018,352.0,297.0,55.0,0.0,0.0,0.0,0.0,77.0,55.0,32.0,0.0,0.0,0.0,352.0,0.0,5.4,0.0
Davidson,2018,353.0,275.0,78.0,0.0,0.0,0.0,0.0,76.0,56.0,37.0,0.0,0.0,0.0,353.0,0.0,3.5256410256410255,0.0
Durham,2018,358.0,272.0,86.0,0.0,0.0,0.0,0.0,100.0,58.0,42.0,0.0,0.0,160.0,197.0,1.0,3.1627906976744184,0.0
Edgecombe,2018,354.0,321.0,33.0,0.0,0.0,0.0,0.0,80.0,50.0,33.0,0.0,0.0,187.0,167.0,0.0,9.727272727272727,0.0
Forsyth,2018,365.0,243.0,120.0,2.0,0.0,0.0,0.0,101.0,67.0,44.0,0.0,7.0,194.0,164.0,0.0,2.025,0.547945205479452
Graham,2018,195.0,165.0,30.0,0.0,0.0,0.0,0.0,93.0,64.0,43.0,0.0,0.0,195.0,0.0,0.0,5.5,0.0
Granville,2018,233.0,193.0,40.0,0.0,0.0,0.0,0.0,93.0,61.0,42.0,0.0,0.0,233.0,0.0,0.0,4.825,0.0
Guilford,2018,355.0,280.0,74.0,1.0,0.0,0.0,0.0,105.0,62.0,40.0,0.0,0.0,211.0,128.0,16.0,3.7837837837837838,0.28169014084507044
Haywood,2018,280.0,225.0,54.0,1.0,0.0,0.0,0.0,105.0,67.0,44.0,0.0,0.0,243.0,37.0,0.0,4.166666666666667,0.35714285714285715
Hyde,2018,109.0,108.0,1.0,0.0,0.0,0.0,0.0,54.0,32.0,19.0,0.0,0.0,0.0,109.0,0.0,108.0,0.0
Jackson,2018,237.0,191.0,45.0,1.0,0.0,0.0,0.0,108.0,67.0,41.0,0.0,0.0,163.0,74.0,0.0,4.2444444444444445,0.42194092827004215
Johnston,2018,354.0,292.0,62.0,0.0,0.0,0.0,0.0,90.0,55.0,39.0,0.0,0.0,161.0,193.0,0.0,4.709677419354839,0.0
Lee,2018,210.0,145.0,65.0,0.0,0.0,0.0,0.0,83.0,59.0,45.0,0.0,0.0,127.0,83.0,0.0,2.230769230769231,0.0
Lenoir,2018,278.0,249.0,28.0,1.0,0.0,0.0,0.0,108.0,51.0,36.0,0.0,0.0,222.0,0.0,56.0,8.892857142857142,0.3597122302158274
Lincoln,2018,225.0,184.0,41.0,0.0,0.0,0.0,0.0,90.0,58.0,41.0,0.0,0.0,225.0,0.0,0.0,4.487804878048781,0.0
Macon,2018,356.0,340.0,16.0,0.0,0.0,0.0,0.0,93.0,45.0,31.0,0.0,0.0,356.0,0.0,0.0,21.25,0.0
Martin,2018,289.0,261.0,28.0,0.0,0.0,0.0,0.0,80.0,50.0,34.0,0.0,0.0,224.0,0.0,65.0,9.321428571428571,0.0
Mitchell,2018,355.0,339.0,16.0,0.0,0.0,0.0,0.0,78.0,45.0,20.0,0.0,0.0,0.0,355.0,0.0,21.1875,0.0
Montgomery,2018,363.0,329.0,34.0,0.0,0.0,0.0,0.0,97.0,50.0,35.0,0.0,0.0,258.0,105.0,0.0,9.676470588235293,0.0
Person,2018,233.0,206.0,27.0,0.0,0.0,0.0,0.0,97.0,54.0,40.0,0.0,0.0,233.0,0.0,0.0,7.62962962962963,0.0
Rockingham,2018,233.0,190.0,43.0,0.0,0.0,0.0,0.0,90.0,58.0,42.0,0.0,0.0,233.0,0.0,0.0,4.4186046511627906,0.0
Rowan,2018,336.0,322.0,14.0,0.0,0.0,0.0,0.0,74.0,48.0,35.0,0.0,0.0,336.0,0.0,0.0,23.0,0.0
Swain,2018,363.0,309.0,54.0,0.0,0.0,0.0,0.0,80.0,54.0,36.0,0.0,0.0,177.0,186.0,0.0,5.722222222222222,0.0
Union,2018,189.0,143.0,43.0,3.0,0.0,0.0,0.0,122.0,67.0,44.0,0.0,0.0,189.0,0.0,0.0,3.3255813953488373,1.5873015873015872
Yancey,2018,230.0,184.0,46.0,0.0,0.0,0.0,0.0,84.0,64.0,44.0,0.0,0.0,230.0,0.0,0.0,4.0,0.0
Alexander,2019,305.0,274.0,31.0,0.0,0.0,0.0,0.0,80.0,51.0,39.0,0.0,0.0,245.0,0.0,60.0,8.838709677419354,0.0
Avery,2019,363.0,335.0,28.0,0.0,0.0,0.0,0.0,77.0,49.0,40.0,0.0,0.0,361.0,2.0,0.0,11.964285714285714,0.0
Caldwell,2019,243.0,214.0,29.0,0.0,0.0,0.0,0.0,74.0,54.0,42.0,0.0,0.0,243.0,0.0,0.0,7.379310344827586,0.0
Carteret,2019,259.0,239.0,20.0,0.0,0.0,0.0,0.0,80.0,50.0,37.0,0.0,0.0,259.0,0.0,0.0,11.95,0.0
Caswell,2019,245.0,236.0,9.0,0.0,0.0,0.0,0.0,64.0,47.0,39.0,0.0,0.0,245.0,0.0,0.0,26.22222222222222,0.0
Catawba,2019,361.0,298.0,63.0,0.0,0.0,0.0,0.0,71.0,54.0,33.0,0.0,0.0,0.0,361.0,0.0,4.73015873015873,0.0
Davidson,2019,350.0,272.0,78.0,0.0,0.0,0.0,0.0,91.0,56.0,35.0,0.0,0.0,0.0,350.0,0.0,3.4871794871794872,0.0
Durham,2019,364.0,293.0,71.0,0.0,0.0,0.0,0.0,87.0,56.0,42.0,0.0,0.0,203.0,161.0,0.0,4.126760563380282,0.0
Edgecombe,2019,363.0,325.0,38.0,0.0,0.0,0.0,0.0,71.0,51.0,36.0,0.0,0.0,200.0,163.0,0.0,8.552631578947368,0.0
Forsyth,2019,365.0,236.0,129.0,0.0,0.0,0.0,0.0,97.0,64.0,45.0,0.0,12.0,180.0,173.0,0.0,1.8294573643410852,0.0
Graham,2019,245.0,191.0,54.0,0.0,0.0,0.0,0.0,97.0,61.0,44.0,0.0,0.0,245.0,0.0,0.0,3.537037037037037,0.0
Granville,2019,240.0,195.0,45.0,0.0,0.0,0.0,0.0,87.0,64.0,44.0,0.0,0.0,240.0,0.0,0.0,4.333333333333333,0.0
Guilford,2019,365.0,293.0,72.0,0.0,0.0,0.0,0.0,90.0,61.0,42.0,0.0,0.0,222.0,117.0,26.0,4.069444444444445,0.0
Haywood,2019,276.0,211.0,65.0,0.0,0.0,0.0,0.0,97.0,64.0,45.0,0.0,0.0,246.0,30.0,0.0,3.246153846153846,0.0
Hyde,2019,102.0,100.0,2.0,0.0,0.0,0.0,0.0,59.0,31.0,18.0,0.0,0.0,0.0,102.0,0.0,50.0,0.0
Jackson,2019,103.0,100.0,3.0,0.0,0.0,0.0,0.0,62.0,45.0,26.0,0.0,0.0,0.0,103.0,0.0,33.333333333333336,0.0
