County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
New Hanover,2012,352,302,48,2,0,0,0,122,54,37,0,0,170,182,0
Person,2012,212,171,35,6,0,0,0,140,67,41,0,0,212,0,0
Pitt,2012,254,208,42,3,1,0,0,177,61,39,0,0,193,61,0
Robeson,2012,122,102,20,0,0,0,0,77,54,34,0,0,0,122,0
Rockingham,2012,214,152,55,7,0,0,0,129,71,44,0,0,214,0,0
Rowan,2012,366,235,119,10,1,1,0,206,77,45,0,0,238,128,0
Swain,2012,360,288,72,0,0,0,0,84,55,41,0,0,161,199,0
Union,2012,214,165,44,4,0,1,0,206,71,40,0,0,214,0,0
Wake,2012,366,247,112,6,1,0,0,161,64,44,0,0,180,186,0
Watauga,2012,120,111,9,0,0,0,0,66,47,32,0,0,0,120,0
Wayne,2012,341,277,64,0,0,0,0,80,57,37,0,0,0,341,0
Yancey,2012,194,141,50,2,1,0,0,156,64,47,0,0,194,0,0
Alamance,2013,356,313,43,0,0,0,0,78,52,31,0,0,0,356,0
Alexander,2013,213,197,16,0,0,0,0,100,49,40,0,0,213,0,0
Avery,2013,363,336,27,0,0,0,0,93,48,40,0,0,349,14,0
Buncombe,2013,365,313,52,0,0,0,0,97,53,36,0,0,137,228,0
Caldwell,2013,214,203,11,0,0,0,0,93,47,37,0,0,214,0,0
Carteret,2013,325,311,14,0,0,0,0,93,45,34,0,0,325,0,0
Caswell,2013,364,266,97,1,0,0,0,112,60,41,0,0,98,266,0
Catawba,2013,364,305,59,0,0,0,0,72,54,33,0,0,0,364,0
Chatham,2013,260,245,15,0,0,0,0,80,47,32,0,0,180,80,0
Cumberland,2013,336,277,58,1,0,0,0,105,56,39,0,0,152,184,0
Davidson,2013,357,260,97,0,0,0,0,77,59,40,0,0,0,357,0
Davie,2013,214,191,23,0,0,0,0,100,51,40,0,0,214,0,0
Duplin,2013,348,271,77,0,0,0,0,82,57,38,0,0,0,347,1
Durham,2013,365,303,62,0,0,0,0,87,54,36,0,0,129,236,0
Edgecombe,2013,361,303,57,1,0,0,0,101,54,36,0,0,146,215,0
