Date,Source,Site ID,POC,OZONE,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
4/24/2023,AQS,371830014,1,0.045,ppm,42,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
4/25/2023,AQS,371830014,1,0.048,ppm,44,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
4/26/2023,AQS,371830014,1,0.05,ppm,46,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
4/27/2023,AQS,371830014,1,0.036,ppm,33,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
4/28/2023,AQS,371830014,1,0.037,ppm,34,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
4/29/2023,AQS,371830014,1,0.038,ppm,35,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
4/30/2023,AQS,371830014,1,0.035,ppm,32,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
5/1/2023,AQS,371830014,1,0.045,ppm,42,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
5/2/2023,AQS,371830014,1,0.052,ppm,48,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
5/3/2023,AQS,371830014,1,0.041,ppm,38,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
5/4/2023,AQS,371830014,1,0.042,ppm,39,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
5/5/2023,AQS,371830014,1,0.049,ppm,45,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
5/6/2023,AQS,371830014,1,0.057,ppm,58,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
5/7/2023,AQS,371830014,1,0.045,ppm,42,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
5/8/2023,AQS,371830014,1,0.056,ppm,54,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
5/9/2023,AQS,371830014,1,0.048,ppm,44,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
5/10/2023,AQS,371830014,1,0.051,ppm,47,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
5/11/2023,AQS,371830014,1,0.055,ppm,51,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
5/12/2023,AQS,371830014,1,0.053,ppm,49,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
5/13/2023,AQS,371830014,1,0.042,ppm,39,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
