Date,Source,Site ID,POC,OZONE,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2/24/2023,AQS,371190041,1,0.046,ppm,43,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/25/2023,AQS,371190041,1,0.027,ppm,25,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/26/2023,AQS,371190041,1,0.02,ppm,19,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/27/2023,AQS,371190041,1,0.029,ppm,27,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/28/2023,AQS,371190041,1,0.048,ppm,44,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/1/2023,AQS,371190041,1,0.042,ppm,39,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/2/2023,AQS,371190041,1,0.027,ppm,25,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/3/2023,AQS,371190041,1,0.038,ppm,35,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/4/2023,AQS,371190041,1,0.047,ppm,44,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/5/2023,AQS,371190041,1,0.05,ppm,46,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
