Date,Source,Site ID,POC,PM2,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
5/31/2023,AQS,371830014,5,12.6,ug/m3 LC,52,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/1/2023,AQS,371830014,5,9.8,ug/m3 LC,41,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/2/2023,AQS,371830014,5,10.8,ug/m3 LC,45,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/3/2023,AQS,371830014,5,11.5,ug/m3 LC,48,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/4/2023,AQS,371830014,5,10.5,ug/m3 LC,44,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/5/2023,AQS,371830014,5,9.6,ug/m3 LC,40,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/6/2023,AQS,371830014,5,24.9,ug/m3 LC,78,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/7/2023,AQS,371830014,5,33,ug/m3 LC,95,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/8/2023,AQS,371830014,5,38.2,ug/m3 LC,108,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/9/2023,AQS,371830014,5,45.2,ug/m3 LC,125,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/10/2023,AQS,371830014,5,30.6,ug/m3 LC,90,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/11/2023,AQS,371830014,5,24.2,ug/m3 LC,76,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/12/2023,AQS,371830014,5,8.5,ug/m3 LC,35,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/13/2023,AQS,371830014,5,8.3,ug/m3 LC,35,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/14/2023,AQS,371830014,5,12.3,ug/m3 LC,51,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/15/2023,AQS,371830014,5,14.1,ug/m3 LC,55,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/16/2023,AQS,371830014,5,17.1,ug/m3 LC,62,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/17/2023,AQS,371830014,5,25.5,ug/m3 LC,79,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/18/2023,AQS,371830014,5,26.8,ug/m3 LC,82,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/19/2023,AQS,371830014,5,24.2,ug/m3 LC,76,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/20/2023,AQS,371830014,5,14.8,ug/m3 LC,57,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/21/2023,AQS,371830014,5,7,ug/m3 LC,29,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/22/2023,AQS,371830014,5,5.2,ug/m3 LC,22,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/23/2023,AQS,371830014,5,7.2,ug/m3 LC,30,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/24/2023,AQS,371830014,5,6.6,ug/m3 LC,28,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/25/2023,AQS,371830014,5,11.4,ug/m3 LC,48,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/26/2023,AQS,371830014,5,12.1,ug/m3 LC,51,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/27/2023,AQS,371830014,5,11.6,ug/m3 LC,48,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/28/2023,AQS,371830014,5,27.6,ug/m3 LC,84,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/29/2023,AQS,371830014,5,47.4,ug/m3 LC,130,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
6/30/2023,AQS,371830014,5,39.3,ug/m3 LC,110,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
7/1/2023,AQS,371830014,5,23.9,ug/m3 LC,76,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
7/2/2023,AQS,371830014,5,16.1,ug/m3 LC,59,Millbrook School,1,100,88101,PM2.5 - Local Conditions,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
