Date,Source,Site ID,POC,NO2,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
9/2/2023,AQS,371190041,1,8.8,ppb,8,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
9/3/2023,AQS,371190041,1,13.2,ppb,12,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
9/4/2023,AQS,371190041,1,15.7,ppb,14,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
9/5/2023,AQS,371190041,1,19.1,ppb,18,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
9/6/2023,AQS,371190041,1,20.5,ppb,19,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
9/7/2023,AQS,371190041,1,18.8,ppb,17,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
9/8/2023,AQS,371190041,1,19.1,ppb,18,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
9/9/2023,AQS,371190041,1,14.3,ppb,13,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
9/10/2023,AQS,371190041,1,5.4,ppb,5,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
9/11/2023,AQS,371190041,1,12.5,ppb,11,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
9/12/2023,AQS,371190041,1,11.5,ppb,10,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
9/13/2023,AQS,371190041,1,17.6,ppb,16,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
